;2724
植物科学;3112
测绘工程（学制4年）;2364
经济学（三本）;9369
软件工程（移动云计算方向）;8158
建筑施工与管理;5876
信息技术学院;7125
公路工程造价;4408
英语（高级翻译）;2712
机械设计造及其自动化;6434
汽车;5880
计算机科学与技术（微软.Net技术订单培养）;3148
饲料与动物营养;1787
社区管理与服务  ;849
动画（含网络游戏专业方向）;3999
信息传播与多媒体技术;5290
临床医学（日语班）;3118
通信技术 ;4181
制药工程专业;9277
艺术设计(服装设计与工程方向）;800
计算机网络技术(北大青鸟网络工程师);3503
电子科学与技术（通信与手机开发）;8605
教育學士學位學前教育;9723
建筑设备工程技术（含建筑水电设计）;7778
戏剧影视美术设计;607
社区（行政）管理 ;1356
行政管理专业;9286
文物与博物馆学(博物馆学方向);9556
电子设备与运行管理;1950
新型纺织机械技术;4380
 物联网工程（对口高职本科·计算机类·理工类）;8456
经济学（经济与金融）;8612
软件工程（英汉双语授课，学制4年）;2325
汽车营销及技术服务;4592
计算机控制技术(电梯工程技术方向);8496
农村区域经济发展;3961
国际经济与贸易（专科）;3141
智能化楼宇;6648
　　计算机应用技术;4745
影视动画专业;5658
生命科学与技术基地班;2291
统计学（数学科学学院）;1205
艺术类(中外合作办学);2411
物联网工程;213
音乐剧;3737
化学（免费师范）;8311
戏曲表演;700
艺术设计（包装与陈列设计）;8965
新闻采编与制作（专科）;3168
工商企业管理(中小企业管理方向）专业;6283
环境艺术设计（室内设计方向）;8066
文化市场经营与管理专业;6782
服装设计与贸易;8087
农业环境保护技术;4394
道路桥梁工程技术(工程监理方向);7668
环境设计（建筑艺术方向）;6107
物流管理（服务外包）;4450
艺术设计（平面设计方向）;4058
园林工程技术 ;4193
动画(二维动画);7396
生物功能材料;3161
经济管理（商务经纪与代理方向）;7928
汽车内燃机;420
斯瓦希里语;1324
会计与金融;3895
城镇规划（园林绿化） ;4270
服装与服饰设计（本科，文理兼收）;8458
通信工程(微波通信方向);8774
应用心理学 ;6064
　　金融学专业（四年制本科）;9657
机械制造与自动化（制造技术信息化方向）;9044
园林技术（园林花卉技术方向）;3253
数学与应用数学(免费师范);8313
应用电子技术 (通信技术方向) ;7990
信息与计算科学专业（商业分析方向）;8162
汽车检测与维修技术（汽车技术服务与营销）;8952
英语教育（师范）;4471
计算机科学与技术（数据库工程师）;7285
法律事务（环境法学）;2083
供用电技术;1650
工商管理（营销管理）;9437
数控设备应用与维护（580302）;5307
财政学(绩效评价方向);3707
 采矿工程（煤矿电气化方向）;2115
汽车检测与维修技术(汽车营销方向);4343
新能源材料与器件专业（英才班）;5496
　　旅游管理（导游方向）;4760
建筑工程技术专业（省级特色专业、省级精品专业）;7086
工商企业管理(涉外酒店方向);8950
艺术设计(动漫设计与制作方向);6489
　　国际经济与贸易专业（四年制本科）;9647
澳洲堪培拉大学;3859
机电技术应用（中专）;5177
财务会计(中澳合作办学);5840
食品科学与工程（师范类）;5549
应用韩语（旅游） ;4266
软件工程（软件设计方向）;6035
财务管理（三本）;9374
数学类（中外）;4006
交互媒体设计;3839
摄影测量与遥感;1621
汽车运用技术（文理兼招）;3229
文科实验班;47
艺术设计(含会展策划与设计专业方向);3998
测绘;3527
财务管理（高职）;593
机械设计制造及其自动化（轧钢方向);2008
商务英语(翻译方向);7956
新闻学（经济新闻方向）;1523
机械工程其及自动化;3063
市场营销(两年制);9478
市场营销(中外合作办学)(市场营销(营销管理));4163
网络营销专业;1003
能源工程及自动化;265
保险学（理财与保险规划方向）;8652
北安普顿大学;3869
铁道通信信号(高速铁路自动控制方向);6806
西餐工艺（韩式、日式餐饮料理方向）;3441
计算机应用技术(web应用开发方向) ;8757
市场营销（网络营销方向）;2576
小学教育（小学英语教育）（师范）;3990
检测技术及应用(公路工程试验与检测);4770
广播电视学（师范类）;6348
食品科学与工程（质量与安全方向）;6487
种子科学与工程;286
广告学专业（品牌策划与传播方向）;668
工商管理类专业;1568
临床医学（农村订单定向）;9191
精神医学;3113
表演（服装表演）;8848
体闲服务与管理;4923
经济学类(中外);2701
数字艺术设计;3882
计算机科学与技术（专升本）;6011
物流管理（物流商务方向）;1377
英语（水产贸易英语）专业;2770
交通管理;1354
作物生产技术（生态农业技术）;4400
五年制本科临床医学专业;538
舞蹈学专业（舞蹈表演方向）;5524
金融与证券（证券投资方向） ;7857
环境设计;486
财政学;25
安全保卫;838
商务日语：;5221
机电一体化技术(自治区级品牌专业);2492
汉语言（商务秘书方向）;2879
金融学;26
治安管理方向;4095
模具设计与制造/市场营销;4199
建筑环境与能源应用工程 ;3536
视觉传达设计专业（平面设计、广告设计、动画设计）   ;3097
护理（英语护理方向）（韩语护理方向）;1928
历史学(国学方向）;9433
软件工程专业;1000
通信技术（电源方向）;8991
朝鲜语语言文学;5847
金融保险(保险营销方向);8504
应用电子技术(电子信息产品营销方向);7686
临床医学专业（香港中文大学联合培养预备班，“5+3”本硕一体化培养）;7201
国防教育与管理;4926
机械设计制造及其自动化（国际工程）(中德合作）;3576
英语教育（师范）（专科）;7457
安全工程专业（采矿工程方向）;9234
贸易经济（二批）;5608
建筑工程结构;965
电子工程与管理;5377
小学教育（小学语文，师范）（本科）;7454
装饰艺术设计 ;2931
康复治疗技术;2775
计算机应用技术（单片机方向）;1866
畜牧兽医;781
生物科学类（生物科学、生物技术）;9684
计算机应用技术(物联网应用技术方向);7018
平面设计;5397
金融与保险;9628
国际型卓越法律人才实验班;5467
宠物医学;2520
电气工程及其自动化（三本）;9368
应用英语（商务）（专科）;9598
可视化程序设计;5291
