;2724
给排水科学与工程（学制4年）;2395
过程装备与控制工程（辽阳校区）;2588
食品质量与安全;276
国画;3648
汽车检测与维修技术（理工类）;5059
核生化消防;1525
机电设备维修与管理(建筑电气方向);7035
应用化学(中德);5504
水利水电建筑工程 ;3508
计算机应用技术（电脑艺术设计方向）;7945
计算机与信息技术;6659
蒙古语言文学教育;3359
商务英语（翻译）;7763
中小学理科教育;7807
物流管理（泰达学院）;1185
美术（专科）;9586
高尔夫服务与管理;8276
模具设计与制造 ;1406
道路桥梁工程技术 ;1708
印刷技术（印刷包装管理）;3778
移动通信运营与服务;1376
音乐表演（师范）（本科）;7487
地质工程（学制4年）;2388
中药（鉴定与营销方向）;3399
机电一体化技术（中德合作）;3826
宝盾班;7703
计算机科学与技术（动画技术方向）;8817
电脑艺术设计（现代商业广告）（三年制）;7819
电子与工艺管理;6809
中韩合作旅游管理;5699
影视多媒体技术（媒体制作）;5659
建筑装饰工程技术(自治区级品牌专业);2489
音乐艺术;917
烹饪工艺与营养专业;5695
计算机控制技术（自动化仪表方向）;1739
应用生物科学;2984
英语（国际经贸）;8646
复合材料与工程专业;1266
酒店管理（茶馆经营与管理方向）;4246
国际保险;7010
计算机软件技术;3464
材料工程技术(一);8694
国际贸易;927
数控设备应用与维护学制三年;5403
行政管理（电子政务方向）;1467
预防医学专业;2667
音乐教育（３年制）;2450
法律文秘 ;1812
电气信息类（中外合作办学）;1277
精细化学品生产技术（古井班）;4699
财务管理（专升本）;5998
戏剧表演;6990
工商管理（现代物流管理）;7298
化学工程与工艺（卓越班，本科）;7503
市场开发与营销（报刊与图书发行方向）;1829
土木工程检测技术;2934
商务管理专业（商务文秘方向）;2241
水产养殖学专业(水产养殖方向);8298
车辆工程专业（本科）;6184
铁道交通运营管理(城市轨道交通运营管理);4356
金融会计;1118
园艺技术 ;3346
计算机网络技术-订单班;1934
应用艺术设计(新媒体与平面设计方向);3828
电子信息科学与技术（光信息科学与技术）;6574
计算机网络与多媒体技术;5233
城市轨道交通车辆专业（驾驶方向、维修方向;8671
运动训练;322
计算机网络技术 ;732
食品科学与工程(试点学院计划);6559
装潢艺术设计(室内装饰设计方向);8534
学前教育（双语教育方向）;2061
药学 ;3119
机电一体化技术（电气自动化及仪表方向）;8274
刑事执行专业（社区矫正方向）;8266
新闻传播学类（中外合作办学）;2303
计算机信息管理（现代文秘与会展）;9173
日语（外贸）（本科）　;7476
旅游英语专业;6762
中国语言文化;9683
金融管理（本科）;5274
文化事业管理（传媒与管理）;7795
综合文科教育;3061
计算机科学与技术（网络技术与系统集成）;3986
环境设计专业（会展设计方向）;7554
测控技术与仪器（辽阳校区）;2598
新闻采编与制作（文娱体育新闻与摄影）;9104
数学与应用数 学 ;2087
食品科学与工程;275
汉语言文学;78
商务管理;444
服装设计（服装工程）;8656
计算机控制技术（过程控制与自动化方向）;1953
电气工程及其自动化技术;2893
电子科学与技术(电子信息材料及元器件方向);7231
市场营销(机电产品营销方向);4724
装潢艺术设计 ;1694
汽车检测与维修技术(3+2项目);4168
电子信息工程技术（网络安全）;8032
材料科学与工程（能源及电子材料）;9423
女性学;628
机电一体化技术（矿山机电方向）;2315
影视表演（话剧与影视表演方向）;3324
医疗保险实务;2413
市场营销（BTEC财务方向）;7610
非织造材料与工程专业;3537
机电一体化技术（河南省专业综合改革试点专业）;6201
医学信息学;3529
分子科学与工程;1198
 计算机应用技术专业（手机游戏开发方向）;2791
应用韩语;809
商贸日语;4666
外国语言文学（中外）;8342
工业设计（产品造型）;7666
土木工程（高职本科）;9268
食品质量与安全监管专业;1664
软件技术（数据库应用与信息化技术方向）;2503
电子商务（含航空服务方向）;5789
电子商务（620405）;5316
会计学（注册会计）;8238
物流管理（物流金融管理方向）;3722
体育教育（３年制）;2449
汉语言（维语方向）;9685
【文秘】文理科;5042
网络工程（云计算方向）;2305
信息与计算科学 (信息计算方向);7235
机械设计制造及其自动化(数字化设计）;7242
商务英语（涉外建筑工程方向） ;4186
软件技术（万佳软件工程师方向，万佳软件公;8594
体育教育专业（文理兼招）;8900
金融数学系;27
公共事业管理(卫生事业管理) ;4497
制冷与空调技术;4731
幼儿教育;6031
信息网络安全监察;2215
装饰艺术设计（数码绘画艺术设计）;7601
船舶工程技术【船舶电子与通信方向】;5130
市场营销（中丹合作）;3705
科技与创意设计试验班;4527
哲学（二批）;5601
高分子材料加工技术(中央财政重点支持专业);5882
小学教育(师范);4447
信息与计算科学（计算数学与软件方向）;9539
装饰艺术设计（家纺设计）;4138
应用德语;1375
临床医学（临床心理）本科;7315
软件工程+桥梁工程;4933
艺术设计（陶瓷方向）;6309
计算机类（中外合作办学）（软件工程）;513
交通工程（机场与道路总体工程）;9405
公共艺术专业;672
环境艺术设计（景观与人物摄影）专业;1783
传播学（跨文化传播）专业方向 ;1326
英语（涉外文秘）;7516
商务英语(商务管理及文秘方向) ;5759
软件工程（计算机应用软件方向）;2864
汽车检测与维修技术(国家级示范专业);3191
农业机械及其自动化;5944
建筑装饰材料及检测;778
新闻采编与制作专业;9480
酒店管理(营销方向);6273
艺术设计（印刷美术设计）;3779
物理学专业;2202
【侦查】文理科;5028
行政管理（金融事务助理方向）;3721
护理学（中英合作）;3628
建筑工程技术（工业与民用建筑工程）;1921
再生资源科学与技术;204
机械设计制造及其自动化（机械电子工程;2732
畜牧兽医（现代马产业技术）;9702
法学（律师方向）;1471
软件技术（软件设计师方向）（590108）;5299
智能科学与技术（信息技术科学学院）;1161
土木工程(工业与民用建筑方向）;7238
信息传播与策划（平面广告设计）;4921
药学（现代制药技术方向） ;7631
金融学（金融统计方向）;5941
武术与民族传统体育;3952
机械设计制造及其自动化（数控技术方向）;2902
艺术设计（会展策划与展示设计方向）;6702
环境监测与治理技术（环境管理方向）;3395
汽车检测与维修技术(汽车装饰方向);9060
飞机维修（发动机主体修理方向）;6923
工商管理（企业管理方向）;7564
汽车行业管理;2956
茶文化;6763
博物馆学;3
教育技术学（教育软件工程）;7504
应用电子技术（通讯）;7761
建筑工程技术（工业与民用建筑方向）;9041
动漫设计与制作（文、理兼收）;5208
计算机通信（宽带数据通信方向）;8574
经济管理;409
英语（旅业商务英语);8243
护理（产科方向）;6687
工程造价 ;742
机械设计制造及其自动化（机电一体化）;2170
学前教育（亲子教育）;876
电气自动化;3308
艺术设计(服装设计);2812
英语商务口译;942
美术教育专业（五年制）;7851
英韩双语;3025
通信技术（网络规划与网络优化方向）;9630
资源环境与城乡规划管理;234
电气工程及自动化;469
电脑艺术设计;452
主持与播音;2052
艺术设计(环境艺术设计);2807
海洋管理;2769
临床医学专业（肿瘤学方向）;9354
护理专科;7309
计算机网络技术（监狱信息管理）;3234
农用车与摩托车维修;2529
软件工程专业（日语强化）;2557
工业产品设计;6713
广告策划与制作;3462
国防建筑学;4428
物流管理（口岸物流）;3802
计算机图形图像制作;5002
动物科学（饲料科学与工程方向）;9271
心理咨询（境外合作项目）;8833
现代养殖;5391
　　英语（英语翻译方向）（四年制本科）;9655
电子信息科学与技术专业（电子信息类）;5987
机械设计制造及其自动化专业（理科）;8923
商务英语（旅游方向）;3134
机电一体化技术（铁路机务方向）;5360
艺术设计（工业造型设计）;6535
软件工程（云应用方向）;8778
财务与金融;3886
服装设计;1748
能源与动力工程（制冷空调）;7150
会计学（对口高职本科）;8434
金融学、金融工程（经济学院）;1168
会计与审计（注册会计师方向）;1792
水文与工程地质;8467
机械设计制造及其自动化(机械电子工程);4439
体育服务与管理（国际高尔夫方向）（体育类）;8384
工商管理（文理兼收）;5073
计算机应用技术（非师范专业）;9391
汽车整形技术（只限男士）;1133
法学（实验学院）;521
体育产业管理;375
国家生物学教学与研究人才培养基地班;5478
汉语言文学（另含秘书学方向）;6389
国际经济与贸易(专科起点);1079
数控技术（机床操作与维修方向）;9062
园林工程技术专业;7780
旅游管理类（闽台合作项目）;4841
生物医学工程学（中医信息与工程方向）;3626
宝玉石鉴定与加工技术（宝石营销方向）;2840
美术学(书法)(专科起点);1103
商务英语(报关报检方向);8515
物流管理（航空物流）;3604
建筑装饰设计与工程;6650
日语（外经贸翻译方向）;1475
法律与行政学院;7122
形象设计与管理;921
计算机应用技术（软件方向）（文理兼收）;5198
应用电子技术（电子设备技术）;7890
园林技术（花卉）;7667
工商管理专业（企业零售管理方向）;659
初等教育（文科方向）;6316
水文与水资源工程专业;5948
电子信息工程(电子技术方向);6437
公共事务管理（食品安全与健康管理）;8072
口腔医学专业（五年制本科）;7204
汉语言文学(专科起点);1100
高分子材料应用技术;1681
应用生物科学专业（师范，招收理工类考生）;9311
舞蹈表演（舞蹈教育方向、舞蹈表演方向;8210
药学类;5452
数学基地班;3532
计算机科学与技术 (计算机网络);7293
电子信息工程（合作办学）;4559
电厂集控运行;5443
数控技术/国际贸易实务;4196
酒店管理（烹饪与营养方向）（专科）;619
会计（建筑会计）;4175
会计专业;1024
工程造价审计;6744
地理学基地班;3064
　　物业设施管理;5727
环境设计（建筑景观设计）;7206
自动化专业 ;2756
自动化;159
应用心理学（心理咨询方向）;5942
计算机辅助设计与制造(汽车检测与维修方向);8493
冶金技术（冶炼技术方向）;3242
市场营销（医疗器械营销）;3757
汽车运用技术(高职专科);5713
系统与控制;439
贸易经济;114
教育学（综合文科）;9181
临床医学（七年制）;5448
管理科学（精益管理方向）;6226
投资与理财（公司理财方向）;6622
药品经营与管理(生化与药品大类);6302
移动通信技术 ;7742
高级护理方向;8100
学前教育（中英文）;5187
通信与信息工程;3915
海洋科学类;6427
电脑艺术设计（文理兼收）;5070
数字媒体设计与制作;4358
计算机多媒体技术专业（网络媒体与数字影视;5752
英语强化课程;3879
国际金融（投资与理财）;7755
现代文秘（高职）;5212
工商企业管理专业（医疗器械国际商务）;3766
市场营销（房地产营销方向）;6803
戏剧影视美术设计（化妆美容设计）;5666
汽车服务工程（理赔与估损）;1046
物流管理（医药物流）;2922
环境设计专业（室内设计、景观设计） ;3099
艺术设计专业(环境艺术设计方向);2040
旅游管理（客运旅游方向）;6790
英语（旅游英语）;8807
电子信息工程（职教师资方向）;9186
四年制本科康复治疗学专业;546
材料科学与工程（学制4年）;2331
软件工程（云计算系统架构）;8777
艺术高考考前培训;924
应用日语（IT方向）;9622
视觉传达（专科）;1870
国际商务（国际贸易方向）;8044
经济学专业（金融方向）;8436
计算机应用技术（软件开发方向）;1780
艺术设计（城乡空间设计方向）;3803
环境科学;65
休闲服务与管理（体育市场开发方向）;6633
中药学（彝药学）;8798
高分子材料与科学;3046
服装设计与工程（中美合作项目）;4539
家政服务（涉外方向）;2072
动漫设计与制作（幸星国际动漫师方向） ;3336
法学（纪检监察方向）专业;9287
音乐科技与艺术;3740
工程管理（房地产开发与经营）;9340
社会体育(瑜伽方向，中外合作);5054
软件技术（互联网应用开发方向）;9135
学前教育(师范类);4520
新闻学（网络与新媒体）;8625
工商企业管理（邮政通信管理方向）;1826
西班牙语（国际商务）专业;1323
电子技术应用;5169
会展策划与管理   ;1403
企业社会责任（公益事业管理方向）;954
国际经济与贸易（本科·文理兼收）;8401
热能动力设备与应用(国家骨干校重点建设专业群专业);2487
生物科学(师范类);9575
畜牧兽医（动物医学方向）;786
应用电子技术（电子产品生产工艺与管理方向;8471
监狱学（社区矫正方向）;3670
食品生物技术（肉制品工艺）;3405
环境艺术设计(空间陈设设计方向);995
行政管理 ;7104
软件技术（软件开发与测试方向）;7613
信息传播与策划;3317
体育航空服务;958
临床医学（医学影像学）;1288
护理学（本科）;1587
体育服务与管理;1799
广告学（数字营销与广告传播）;6858
器乐;1891
软件设计与开发;5230
经济信息管理;787
水环境监测与保护;3484
康复治疗学本科;7342
园艺（含观赏园艺方向，英汉双语授课 学制4年）;2399
传媒艺术系;6955
统计学;68
电子商务方向;8107
软件技术专业;7076
计算机控制技术;1411
电子商务（本科）;5272
食品营养与检测（中澳合作）;5870
种子科学与工程（学制4年）;2347
道路与桥梁工程技术;2436
电子信息工程技术（理工类）;5056
机械设汁制造及其自动化;6417
临床医学（输血医学）本科;7316
投资理财;4616
工商企业管理 (中澳合作);5866
体育教育(高尔夫方向）;5052
艺术设计（服装设计与表演）;2700
艺术设计专业（广告设计方向）;7772
瑞典语;340
宝石及材料工艺学专业（宝石鉴定与营销方向）（国际班）;8167
国际经济与贸易（国际商务）;9144
轻工纺织食品;445
报关与国际货运;1362
应用化学（工业分析方向）;3003
科学社会主义与国际共产主义运动;6871
眼视光学;1286
材料成型与控制工程;2574
美术学（公共艺术方向）;6856
传播学（电影电视）;7409
环境工程（学制4年）;2338
数控技术(数控系统应用与维护方向);4342
高分子材料应用技术（国家试点）;2585
应用西班牙语（旅游西班牙语方向）;3907
表演艺术（学前艺术方向）;8065
临床医学（医学影像学方向） ;5912
地球物理学（地震监测预测方向、地球物理勘探方向）;1533
社会工作 ;850
装饰艺术设计（环境艺术设计方向）;1398
食品贮运与营销专业;8698
工程管理专业（理科）;8875
航空机电设备维修（直升机维修方向）;1249
水利水电工程专业（水务工程专业方向）;1236
电厂设备运行与维护（水利电力设备及自动化;7727
室内装饰设计;3836
商务文秘;3468
计算机应用技术（信息管理方向）;7948
电子与信息技术;5387
电子信息工程（微电子制造方向）;2869
房屋建筑工程;9521
能源经济;121
工商企业管理（企业信息化方向）;2857
连锁经营 ;6641
艺术设计（展览与商业空间设计）;3796
藏医学（五年）;8840
计算机速录;1919
交通安全与智能控制（安全控制产品方向）;6710
法学（行政法方向）;3672
染整技术（现代印染技术与管理）;8960
体育教育（艺术教育方向） ;8988
　　高分子材料加工技术;5721
森林保护（学制4年）;2393
城市轨道交通控制专业;8670
岩土工程技术专业;7094
旅游管理(文案方向);6268
影视学;329
软件工程(应用软件开发方向);7914
大气科学;59
工科实验班（中欧航空工程师）;1254
动物生产与营销;4114
法医学;1506
建筑工程技术专业;5437
物理学系;8171
葡語研究;9743
财务信息管理（对口专科）;8953
格洛斯特郡大学;3858
轻化工程（皮革化学与工程方向）;5628
给水排水工程专业;2750
日语（涉外法商方向）;3660
市场营销(石油化工产品营销);4506
数理试点班;8184
艺术设计（动漫方向）;6879
机床加工与维修;9169
影视动画(游戏美术方向);8756
汽车技术服务与营销（华汽班）;6635
冶金设备应用与维护;1737
应用英语（英语翻译方向);6646
　　　投资与理财专业;4806
计算机科学与技术（中加）;3170
初等教育（英语方向）;7832
汽车运用技术（中德合作班）;1129
蒙药学;2301
应用物理学;177
会计与商务管理;3897
动漫设计与制作专业;6266
精细化学品生产技术;1671
功能材料专业;3538
信息资源管理;36
新闻学（法制新闻）;5432
网络企业管理专业;1002
民航运输(航空物流方向);4344
应用英语(文化教育大类);6296
市场营销(网络营销方向);7014
国际贸易实务;1369
模具设计与制造;719
法语（二批）;5625
材料成型及控制工程（模具设计与制造）;6571
建筑设计技术（建筑方案设计及绘制方向）;8663
文化市场经营与管理;1627
电子信息工程技术 （智能电子技术方向）;1720
机电一体化技术（焊接工艺方向）;6245
音乐学专业（声乐表演方向）;5521
多媒体艺术;3646
计算机应用技术(专科);6828
学前教育（五年）;9497
钢琴调律专业;6754
计算机应用技术（信息家电服务工程师）;8582
泰语;105
动漫设计与制作(游戏动画方向);8528
舞蹈系;824
　　服装制版与工艺;5733
畜禽生产教育;2987
工商企业管理（连锁经营管理方向）;9050
会计与审计（会计方向）;8750
社会学（周恩来政府管理学院）;1191
汽车电子;2521
数字媒体技术;242
汉语国际教育 （师范）;4854
英语教育(本科、师范类,与江西师范大学联办);5109
广告与会展;1777
汽车运用技术(高职);7671
教育管理;5872
视觉传达设计专业（广告设计方向）;7555
汉语言文学（试验班）;6472
自动化（智能建筑与楼宇自动化）;9448
化学工程与工艺（职教师资）;9458
应用英语(旅游与酒店方向);4340
数学与应用数学专业（理科）;8907
法语(français);8378
公共事业管理（体育经营管理）;8205
生物技术及应用（畜牧）;4116
翻译（商务口译）;7277
汉语国际教育专业;9290
焊接加工;9170
国际经济法方向;8125
土木工程专业（交通土建方向）;2304
计算机多媒体;9475
电磁场与无线技术;435
涉外文秘与翻译;8096
机电一体化技术（数控技术方向、模具设计方向、机械制造方向）;9511
能源与动力工程（制冷与空调工程）;4014
工商管理类(中外合作办学);2423
电气工程及其自动化（楼宇自动化方向）;2017
天文学类;6416
文秘（金融方向）;2263
社会体育指导与管理（本科）;7444
计算机应用技术（高职）;595
电波传播与天线;6373
会计（ERP软件实施与服务）;878
商务日语（商务与旅游日语方向）;3277
水利工程监理;1648
金融管理;408
功能材料;268
经济统计;4961
书记官 ;7864
软件工程（ 软件工程方向）;2111
（本科）传媒艺术学院专业介绍;8548
计算机应用技术/文秘;4223
  机械设计制造及其自动化（模具设计与制造方向）;6523
财务管理(海外本科直通车) ;4254
区域地质调查专业;7091
中药学（基地班）;8841
包装工程（福清校区）;4838
市场营销(医药);1111
计算机辅助设计与制造(数控技术应用方向);8495
　　机电一体化技术（省级特色专业）;5716
建筑设计技术（建筑动画及表现方向）;8665
机电技术教育;6185
商务英语(外事方向);7958
农业水利工程（含水利信息化方向）;2116
软件技术(嵌入式);4405
地球环境科学;9403
程控交换技术;8705
电子信息工程(电路设计及应用方向);9562
室内设计技术（家具设计与制作）;9109
对外汉语;332
动物科学（动物营养方向）（学制4年））;2326
网络工程（英汉双语授课，学制4年）;2324
国际商务：;5223
玩具工程;4023
生物技术（师范类）;6339
水产养殖学专业（营养与饲料方向）;8299
计算机网络技术（H3C 4G网络工程师方;3429
交通运输（汽车运用工程）;3589
司法（法律）文秘;5431
教育学(现代教育技术)(专科起点);1091
　　道路桥梁工程技术;5738
珠宝鉴定师;923
视觉传达艺术设计（形象艺术设计）;7883
工商行政管理;1961
交通运输（航空器械维修）;3592
空间信息与数字技术;18
建筑环境与能源应用工程专业;1268
物理学（师范类）;6340
侦查学;351
化工设备维修技术;1726
视觉传达艺术设计（平面设计方向）;4309
服装与服饰设计(时装表演与服装设计);3959
房地产经营与估价（专科）;9584
物流管理（开设顺丰订单班）;7083
机电安装工程;6820
艺术设计（视觉传达设计方向）;2660
商科管理类;3885
口腔工艺技术;9677
管理学院;7124
市场营销（物流）;6504
【信息安全技术】理科;5034
信息工程(电子信息工程方向) ;7239
计算机科学与技术（非师范）;6916
空间信息与数字技术专业;9280
匡亚明班（文学与历史学人才培养实验班）;2952
服装与服饰设计（形象设计与策划）;5638
机电一体化技术（过程装备与控制技术方向）;8275
民航机务工程;426
汽车服务工程;470
试产养殖;4578
生物科学（师范类，本科，理工类）;8422
测控技术与仪器（工业自动化仪表方向）;2020
地质灾害防治技术;8464
艺术设计（视觉传达）;4482
数学与应用数学(金融方向);8394
烹饪工艺（中西面点方向）;5831
护理(助 产) ;4386
艺术设计（平面广告设计方向）;3139
电气自动化技术(院级品牌专业);2494
计算机科学与技术（海康应用软件开发订单培养）;3142
通信技术(光纤通信方向);6549
表演专业;1274
网络营销方向;8123
法学（知识产权方向）;5554
汽车检测与维修 ;1407
电机与电器;1771
网络与新媒体(含网络与新媒体方向、品牌公关广告方向);6470
国际经济与贸易(国贸英语实验班);6528
英语语言文学;2088
公共事业管理（文化艺术经营管理方向）;8204
电子信息工程专业;1557
音乐表演（声乐演唱、器乐演奏方向);3321
船舶动力工程;6823
电脑艺术设计（省级试点专业）;2273
商务英语（国际客户服务管理方向）;8057
环境科学与工程类（中外合作办学）;6422
商务管理（投资与理财）;7875
英语(商务翻译);3699
五年制本科临床药学专业;542
化学生物学（化学学院）;1213
临床医学专业;5676
电机电器装配与维修;9168
文化产业管理 ;6063
汽车驾驶;2526
侦测工程;6327
建筑工程造价方向;7089
园林与艺术学院园林;4951
计算机应用技术（商务网络技术）;3798
影视制片管理;1063
装潢艺术设计(广告与包装设计方向);8954
应用越南语（非师范专业）;9397
机械设计制造及其自动化专业（机械制造与自动化方向，与广东轻职联合培养）;7498
会计（涉外）;691
中医学（高级护理方向）;2176
科学管理与工程;244
微电子学;62
信息研究与安全;6324
航空通信技术;6921
英语（外事管理）;8649
计算机应用技术（软件开发） ;4705
计算机科学与技术（嵌入式软件开发）;9093
英语（国际贸易）;2711
音乐表演(中小学辅导员方向);8538
通信技术（中德合作） ;3825
应用英语（英语教育）;9624
纺织品装饰艺术设计(染织设计);8000
广告学专业;5849
水文与水资源;1649
历史学（历史文化遗产保护与产业开发）;9553
藏语言文学;9679
环境监测与治理技术(城市水处理方向);1937
应用化工技术 ;8542
给排水与科学专业 ;3032
软件技术（软件工程）;5015
自动化专业（自动化类）;5977
 哈德斯菲尔德大学;3872
动物养殖与疾病防治;4113
文秘（文化产业管理）;4468
建筑工程安全管理 ;6748
摄 影;4000
金融学（保险、证券、银行）;4479
数控技术（设备维护方向）;6247
音乐表演（中美合作办学）;5564
光电信息科学与工程（光电器件）;7172
环境监测与评价(院级品牌专业);2483
防火管理;5696
机械工程及其自动化（城市轨道交通车辆方向;631
质量与可靠性工程;433
物流管理（620505）;5317
商务英语 ;1700
应用统计学;1540
中西医临床医学;1292
社区管理与服务 ;1817
市场营销(营销与策划方向);7253
小学教育(全科培养方向)（实验班）;6227
应用化工技术专业（专科、含对口）;6180
计算机应用技术（网络游戏开发）;8034
旅游管理专业（专科）;6152
林学;302
采矿工程;219
培养目标：主要培养德、智、体、美全面发展，具有现代广告理论;6727
历史学（基地班）;6463
艺人经纪管理;1061
电子信息工程（北京华清远见嵌入式系统）;3101
楼宇智能化工程技术【注册电气工程师】;5144
计算机科学与技术专业（信息与数字技术方向）;8164
工商管理（物流管理方向）;8202
产品造型设计 ;7858
医疗器械制造与维护（专科）;5009
建筑环境与能源应用;2591
　　经济与金融专业（四年制本科）;9641
动漫设计与制作（影视动画方向）;9004
应用化工技术(生化与药品大类) ;6301
国际经济与贸易（国际商务管理）;4984
道路桥梁工程技术（安全技术）;1132
外贸与报关实务;8095
物流管理与工程类(物流管理)(采购与供应链管理)(中外合作办学);4045
司法助理 ;1810
数学菁英班;390
出版与发行;1963
英语教育（小学方向） ;8977
艺术设计（产品造型设计）;7757
机械设计与制造（模具设计方向）;9059
市场营销（国际班）;8170
通信网络与设备;3383
自动化（计算机控制方向）;2015
数控技术(数控加工与工艺编程);4152
工业设计（数字媒体设计）;644
　　机械设计与制造;5781
材料工程技术（水泥制作工艺方向）;3244
法律事务（房地产法律事务）;9151
思想政治教育（免费师范）;8303
计算机科学与技术(3D仿真设计);5648
旅游管理（动车乘务服务方向）;6801
电厂设备运行与维护（火电热能动力设备及自;7726
物理学(通用技术方向)  ;9183
煤及煤层气工程;2580
船舶工程技术（计算机辅助建造）;4210
轮机工程技术（船机制造与维修方向）;2887
刑事执行(狱政管理方向);7749
食品质量与安全（中英合作）;5534
英语（师范类）;6343
会计(涉外方向);2783
　　会计学专业（注册会计师方向）（四年制本科）;9664
房地产经营管理;133
轻化丁程;6415
软件技术(移动智能应用开发);4350
材料科学与工程（无机非金属材料方向）;8152
人文地理与城乡规划;479
文化产业管理（本科，文理兼收）;8447
汽车检测及维修技术;1954
【文秘】（中招）;5045
软件技术（印度NIIT软件工程师方向，印;8593
会计（国际方向）;9692
旅游管理（会展管理）;7657
金融保险（运输保险方向）;6717
俄语专业;1138
无机非金属材料工程;207
测控工程专业;981
森林资源与保护游憩;304
对外汉语学;2298
工程造价（建筑工程施工监理方向）;6792
财务管理（注册会计师方向）;6050
计算机多媒体技术（游戏动画方向）（590103）;5346
安全工程（含专升本）;6012
都市园艺 ;4282
美术字;2966
应用电子技术（电子电器产品质量管理方向）;7943
机械工程及自动化专业 (机电一体化方向);635
缅甸语专业（非师范，文理兼招）;9306
应用心理学（第二学士学位）;6065
商业演示动画;3838
信息科学与工程类;519
通信工程设计与施工;4410
水文与水资源工程（学制4年）;2336
金融学（国际金融方向）;3708
网站规划与开发技术（互联网应用开发）;8139
新能源科学与工程（太阳能、风能、核能）;5512
商务管理专业;1033
广播电视学专业;7219
服装设计与工程;646
蒙医学;2300
美术学;148
包装技术与设计专业;8704
　　法学专业（经济法方向）（四年制本科）;9656
法学（民商法方向）;3666
食品质量与安全（二批）;5596
中医学(临床方向);3636
会计与审计(纳税筹划);9693
计算机科学与技术（动漫方向）;8200
药品质量检测技术;1440
饲料与动物营养(饲料质量检测与管理方向);5682
劳动关系;132
影视摄影与制作（影视声音制作方向）;2269
展示设计;3834
工程测量技术（矿山测量方向）;3257
工程造价(专科);5053
道路桥梁工程技术;900
国际商务(报关与外销方向）;2836
汽车检测与维修技术;689
商务筹划管理;9459
国际标准舞[体育舞蹈];9139
计算机及其应用（本科）;5258
教育技术学（数字媒体设计与制作方向）;4899
影视多媒体技术 ;7860
法学（法学院）;1189
计算机网络技术(网络工程与技术);4374
护理学（国家特色专业建设点）;3974
国际物流管理;926
证券投资与管理（金融保险）;9145
食品生物技术 ;7619
中西医临床医学（全科医生方向）;2685
地质学基地班;69
艺术设计（网络平面设计）;7758
城市园林（景观工程）;3817
机械工程与自动化（机电一体化、机械电子工程方向）;249
工商管理(物流管理) ;2649
美术学专业（师范、本科）;6156
社会体育高尔夫球管理方向;1607
环境工程（环境监测与治理技术）(本科);7432
公共事业管理(行政与人力资源);5844
会计学（商学院）;1176
人力资源管理（国家级教学改革试点专业;2275
环境艺术设计（电脑艺术设计方向）;8112
酒店管理方向;8120
经济贸易;1056
中医学（针灸推拿）本科;7321
数码影视艺术;8936
工业设计（计算机与产品开发）;2833
城市园林;1878
植物生物技术;3531
公安情报学;370
汽车检测与维修技术（五年）;9503
动漫设计与制作（文理兼收）;5072
园林(景观设计方向);8386
制药工程 ;4567
中药学;315
电子科学与技术（电子应用技术、电子信息处理方向）;248
会计（邮政财务会计方向）;1822
应用物理学专业（光电材料与器件方向）;8359
工商管理（本）;9262
治安管理（专科）;8262
电子信息科学与技术专业;2205
服装设计(设计与表演方向);5883
工程造价（公路与工程造价方向）;6698
数控技术(省级重点专业);3389
雕塑艺术设计专业;6939
心理咨询;1596
炼油技术;4412
食品营养与检测（质量安全）;3404
建筑工程技术（拥有中央财政支持实训基地）;7048
会展设计;7067
软件技术（游戏软件设计师方向）;8591
国际邮轮乘务;3857
旅游管理（会展经济与管理）;8233
计算机应用技术(Java技术应用方向);6089
森林资源保护（森林防火方向）;3366
药学类（中外合作办学）;2422
旅游管理：;5225
汉语言文学（教育）;7289
主持与播音（专科）;614
海洋化工生产技术;5690
自然地理与资源环境;4002
矿井建设 ;6307
英语（师范类，本科，文理兼收）;8423
工程力学与航天航空工程;163
旅游管理（英语方向）（专科）;9592
设施园艺;5392
英语（英语语言与翻译方向）;7307
汉语言文学(高级涉外文秘)(专科起点);1101
城乡规划专业（原城市规划专业）;9258
服装与服饰设计(艺术学) ;6293
国土资源管理（专科）;5871
艺术设计（城市园林设计）;9110
动画（游戏美术方向）;6105
社会学;44
木材加工技术（家具设计与制造方向）;3367
视觉传达艺术设计（平面设计）;7880
给水工程;2578
水环境监测与分析;4395
武器发射工程专业;980
机电一体化技术 ;744
会展经济与管理（会展策划师方向）;6850
电厂热能动力装置专业;4893
历史学（免费师范）;8294
心理学;67
油气地质勘探技术;5856
电力系统继电保护及自动化;2238
韩国语;361
计算机科学与技术（日语强化方向）;2863
建筑工程管理【专科】 ;9465
旅游管理（旅行社与景区管理方向）;8302
行政管理（电子政务）;2271
现代乡镇综合管理;8602
机械设计制造及其自动化（工程设计及分析方;2006
会 计;4719
生物教育 ;8983
电子信息科学与技术(矿山机电方向);6875
物理教育(本专科);2185
统计学（非师范）;5557
表演艺术（器乐方向）;794
计算机科学与技术（多媒体技术方向）专业;9278
计算机控制技术（智能电子产品设计方向）;7963
艺术与科技（网络媒体方向）;1886
无机化学;327
车辆工程（电子技术方向）;7538
农业机械化工程;2973
3G高级应用软件测试;935
高分子材料工程;1497
财务管理专业;1025
文秘（文秘与办公自动化）;5424
地图学与地理信息工程;6326
注册会计师;5162
小学教育（师范）;3989
汉语国际教育;566
